CTOD,Stress
-0.035,6.0689
0.001,8.0377
0.025,5.9878
0.06,5.9663
0.073,6.2759
0.073,7.7275
0.076,5.8149
0.093,5.8695
0.1,6.8614
0.106,6.0152
0.112,6.533
0.127,5.9841
0.138,5.9971
0.14,6.2621
0.153,8.2407
0.17,5.866
0.17,8.016
0.175,6.761
0.185,6.3124
0.196,6.9661
0.203,6.2542
0.224,6.4214
0.224,6.7203
0.227,6.2801
0.238,7.026
0.24,6.7268
0.24,6.7343
0.244,6.5678
0.249,6.2644
0.256,6.6618
0.28,6.5464
0.281,6.8433
0.282,6.8085
0.283,6.7434
0.284,6.8531
0.288,7.011
0.289,8.9944
0.292,6.9379
0.296,6.7033
0.297,5.1104
0.299,9.6071
0.3,8.6678
0.303,5.4809
0.311,5.2072
0.313,9.675
0.315,8.6548
0.317,8.481
0.319,7.496
0.319,8.9946
0.321,6.7831
0.322,7.0045
0.322,9.0143
0.326,5.9299
0.328,6.9329
0.329,6.5824
0.329,7.1118
0.33,7.0542
0.332,7.5072
0.337,5.3795
0.337,9.5606
0.342,6.6634
0.342,7.1948
0.345,5.7608
0.347,7.2195
0.347,7.3242
0.349,5.3652
0.349,5.7922
0.35,5.1347
0.351,7.2066
0.352,6.2415
0.355,7.2481
0.359,7.4507
0.362,8.7968
0.365,7.6086
0.367,8.4585
0.37,6.0637
0.384,6.2714
0.385,6.5577
0.387,7.386
0.391,6.5669
0.391,9.3012
0.392,6.5639
0.397,6.9845
0.4,6.0943
0.401,8.563
0.401,9.514
0.408,6.0568
0.411,6.5947
0.413,8.3696
0.417,8.721
0.421,4.9268
0.422,5.1148
0.426,5.3576
0.43,8.509
0.43,9.0925
0.433,6.6319
0.433,7.9941
0.436,9.1846
0.437,9.334
0.443,9.1687
0.445,8.4084
0.446,5.2309
0.452,8.459
0.454,4.9698
0.454,5.2977
0.454,8.3599
0.455,7.7111
0.456,9.9925
0.46,8.8637
0.463,9.1526
0.464,9.3278
0.468,9.6767
0.473,9.1208
